,agent,year,region,index,installed,region,sector,technology,type,capacity
35,A3,2055,R1,1,2045,R1,residential,gasboiler,retrofit,28.895
12,A1,2035,R1,12,2030,R1,power,windturbine,retrofit,36.767
1,A1,2050,R1,1,2040,R1,residential,gasboiler,retrofit,24.632
2,A1,2055,R1,2,2050,R1,residential,gasboiler,retrofit,24.632
45,A3,2040,R1,1,2030,R1,residential,gasboiler,retrofit,15.842
11,A1,2030,R1,11,2025,R1,power,windturbine,retrofit,0.5483
24,A2,2035,R1,1,2025,R1,residential,gasboiler,retrofit,23.632
6,A1,2050,R1,6,2025,R1,power,windturbine,retrofit,1.125
11,A1,2025,R1,11,2030,R1,power,windturbine,retrofit,0.5483
1,A1,2060,R1,1,2055,R1,gas,gassupply1,retrofit,73.872
8,A1,2045,R1,8,2040,R1,power,windturbine,retrofit,0.5483
1,A1,2055,R1,1,2045,R1,residential,gasboiler,retrofit,38.526
3,A1,2040,R1,1,2035,R1,gas,gassupply1,retrofit,63.131
0,A1,2050,R1,0,2040,R1,gas,gassupply1,retrofit,119.461
37,A3,2025,R1,0,2030,R1,residential,gasboiler,retrofit,34.211
1,A1,2030,R1,1,2025,R1,gas,gassupply1,retrofit,52.391
10,A1,2035,R1,10,2030,R1,power,windturbine,retrofit,0.5483
11,A1,2040,R1,11,2030,R1,power,windturbine,retrofit,36.767
10,A1,2055,R1,21,2050,R1,gas,gassupply2,retrofit,19.461
16,A1,2030,R1,20,2040,R1,residential,heatpump,retrofit,17.614
16,A2,2060,R1,1,2050,R1,residential,gasboiler,retrofit,18.474
38,A2,2035,R1,27,2030,R1,residential,heatpump,retrofit,15.842
24,A2,2045,R1,2,2040,R1,residential,gasboiler,retrofit,18.474
3,A1,2045,R1,1,2035,R1,residential,gasboiler,retrofit,35.018
2,A1,2060,R1,2,2055,R1,residential,gasboiler,retrofit,38.526
10,A1,2045,R1,10,2030,R1,power,windturbine,retrofit,36.767
2,A1,2035,R1,0,2025,R1,gas,gassupply1,retrofit,52.391
11,A1,2035,R1,11,2025,R1,power,windturbine,retrofit,1.125
10,A1,2060,R1,21,2050,R1,gas,gassupply2,retrofit,19.461
3,A1,2045,R1,1,2040,R1,gas,gassupply1,retrofit,119.461
12,A1,2030,R1,12,2025,R1,power,windturbine,retrofit,1.125
46,A3,2035,R1,2,2030,R1,residential,gasboiler,retrofit,15.842
36,A3,2055,R1,2,2050,R1,residential,gasboiler,retrofit,18.474
25,A2,2030,R1,1,2025,R1,residential,gasboiler,retrofit,23.632
37,A3,2050,R1,1,2040,R1,residential,gasboiler,retrofit,18.474
19,A2,2050,R1,1,2040,R1,residential,gasboiler,retrofit,18.474
2,A1,2040,R1,0,2030,R1,gas,gassupply1,retrofit,63.459
31,A3,2060,R1,1,2050,R1,residential,gasboiler,retrofit,18.474
38,A3,2050,R1,2,2045,R1,residential,gasboiler,retrofit,28.895
9,A1,2040,R1,9,2030,R1,power,windturbine,retrofit,0.5483
1,A1,2060,R1,1,2050,R1,residential,gasboiler,retrofit,24.632
2,A1,2045,R1,0,2035,R1,gas,gassupply1,retrofit,63.131
2,A1,2025,R1,0,2030,R1,gas,gassupply1,retrofit,126.412
45,A3,2035,R1,1,2025,R1,residential,gasboiler,retrofit,23.632
18,A2,2055,R1,1,2045,R1,residential,gasboiler,retrofit,28.895
2,A1,2050,R1,2,2045,R1,residential,gasboiler,retrofit,38.526
0,A1,2060,R1,0,2050,R1,gas,gassupply1,retrofit,10
4,A1,2055,R1,4,2030,R1,power,windturbine,retrofit,36.767
3,A1,2035,R1,1,2025,R1,residential,gasboiler,retrofit,31.509
19,A1,2040,R1,27,2030,R1,residential,heatpump,retrofit,21.123
7,A1,2050,R1,7,2030,R1,power,windturbine,retrofit,36.767
0,A1,2055,R1,0,2045,R1,gas,gassupply1,retrofit,73.872
21,A2,2025,R1,0,2030,R1,residential,gasboiler,retrofit,34.211
17,A1,2035,R1,27,2030,R1,residential,heatpump,retrofit,21.123
24,A2,2030,R1,0,2030,R1,residential,gasboiler,retrofit,13.211
43,A3,2045,R1,1,2035,R1,residential,gasboiler,retrofit,26.263
45,A3,2030,R1,1,2025,R1,residential,gasboiler,retrofit,23.632
9,A1,2045,R1,9,2025,R1,power,windturbine,retrofit,1.125
2,A1,2025,R1,0,2030,R1,residential,gasboiler,retrofit,2.8
3,A1,2030,R1,1,2025,R1,residential,gasboiler,retrofit,31.509
3,A1,2035,R1,1,2030,R1,gas,gassupply1,retrofit,63.459
1,A1,2050,R1,1,2045,R1,gas,gassupply1,retrofit,73.872
32,A3,2060,R1,2,2055,R1,residential,gasboiler,retrofit,28.895
20,A2,2050,R1,2,2045,R1,residential,gasboiler,retrofit,28.895
0,A1,2025,R1,0,2030,R1,power,gasCCGT,retrofit,0.5
23,A2,2045,R1,1,2035,R1,residential,gasboiler,retrofit,26.263
44,A3,2045,R1,2,2040,R1,residential,gasboiler,retrofit,18.474
0,A1,2030,R1,0,2030,R1,gas,gassupply1,retrofit,76.412
4,A1,2045,R1,2,2040,R1,residential,gasboiler,retrofit,24.632
46,A3,2040,R1,2,2035,R1,residential,gasboiler,retrofit,26.263
10,A1,2040,R1,10,2025,R1,power,windturbine,retrofit,1.125
1,A1,2055,R1,1,2050,R1,gas,gassupply1,retrofit,10
16,A1,2025,R1,20,2030,R1,residential,heatpump,retrofit,17.614
44,A3,2030,R1,0,2030,R1,residential,gasboiler,retrofit,13.211
3,A1,2040,R1,1,2035,R1,residential,gasboiler,retrofit,35.018
17,A2,2060,R1,2,2055,R1,residential,gasboiler,retrofit,28.895
40,A2,2040,R1,27,2030,R1,residential,heatpump,retrofit,15.842
19,A2,2055,R1,2,2050,R1,residential,gasboiler,retrofit,18.474
24,A2,2040,R1,1,2035,R1,residential,gasboiler,retrofit,26.263
